original,replacement,rank,comment
[unassigned] Caenogastropoda,,order,
[unassigned] Decapodiformes,,order,
[unassigned] Euheterodonta,,order,
[unassigned] Pulmonata,,order,
(unallocated),,,
Vetigastropoda (unassigned),,,
not in use,,,
