kingdom,taxonID,useDistribution,useDataset,useRank
# For use with filling out additional kingdoms
Archaea,R,false,false,false
Bacteria,B,false,false,false
Chromista,C,false,false,false
Protozoa,Z,false,false,false
Viruses,V,false,false,false
