locationID,identifier,locality,mappedLocality
http://vocab.getty.edu/tgn/7594545,mrgid:48677,Arctic Basin,
http://vocab.getty.edu/tgn/7594545,mrgid:23616,SeaVox Sea Areas,
http://vocab.getty.edu/tgn/1000004,mrgid:23733,Asian Mainland,
http://vocab.getty.edu/tgn/1112234,mrgid:21501,Subantarctic Province,
http://vocab.getty.edu/tgn/7014206,mrgid:21887,Patagonian Shelf,
http://vocab.getty.edu/tgn/7014206,mrgid:8548,Scotian Shelf,
http://vocab.getty.edu/tgn/7014206,mrgid:8551,Northeast U.S. Continental Shelf,
http://vocab.getty.edu/tgn/7014206,mrgid:8558,Southeast U.S. Continental Shelf,
http://vocab.getty.edu/tgn/7016682,tdwg:0,World,World
http://vocab.getty.edu/tgn/1000003,tdwg:1,Europe,Europe
http://vocab.getty.edu/tgn/7001242,tdwg:2,Africa,Africa
http://vocab.getty.edu/tgn/1000004,tdwg:3,Asia-Temperate,Asia-Temperate
http://vocab.getty.edu/tgn/1000004,tdwg:4,Asia-Tropical,Asia-Tropical
http://vocab.getty.edu/tgn/7018842,tdwg:5,Australasia,Australasia
http://vocab.getty.edu/tgn/7014652,tdwg:6,Pacific,Pacific
http://vocab.getty.edu/tgn/1000001,tdwg:7,Northern America,Northern America
http://vocab.getty.edu/tgn/1000002,tdwg:8,Southern America,Southern America
http://vocab.getty.edu/tgn/1000007,tdwg:9,Antarctic,Antarctic
http://vocab.getty.edu/tgn/4003757,tdwg:10,Northern Europe,Northern Europe
http://vocab.getty.edu/tgn/1000003,tdwg:11,Middle Europe,Europe
http://vocab.getty.edu/tgn/1000003,tdwg:12,Southwestern Europe,Southwestern Europe
http://vocab.getty.edu/tgn/1000003,tdwg:13,Southeastern Europe,Southeastern Europe
http://vocab.getty.edu/tgn/4003756,tdwg:14,Eastern Europe,Eastern Europe
http://vocab.getty.edu/tgn/7001242,tdwg:20,Northern Africa,Northern Africa
http://vocab.getty.edu/tgn/7001242,tdwg:21,Macaronesia,Africa
http://vocab.getty.edu/tgn/7001242,tdwg:22,West Tropical Africa,Africa
http://vocab.getty.edu/tgn/7001242,tdwg:23,West-Central Tropical Africa,Africa
http://vocab.getty.edu/tgn/7001242,tdwg:24,Northeast Tropical Africa,Africa
http://vocab.getty.edu/tgn/7001242,tdwg:25,East Tropical Africa,Africa
http://vocab.getty.edu/tgn/7001242,tdwg:26,South Tropical Africa,South Tropical Africa
http://vocab.getty.edu/tgn/7001242,tdwg:27,Southern Africa,Southern Africa
http://vocab.getty.edu/tgn/7014206,tdwg:28,Middle Atlantic Ocean,Middle Atlantic Ocean
http://vocab.getty.edu/tgn/7016682,tdwg:29,Western Indian Ocean,Western Indian Ocean
http://vocab.getty.edu/tgn/7011548,tdwg:30,Siberia,Siberia
http://vocab.getty.edu/tgn/6001973,tdwg:31,Russian Far East,Russian Far East
http://vocab.getty.edu/tgn/4010700,tdwg:32,Middle Asia,Middle Asia
http://vocab.getty.edu/tgn/7016642,tdwg:33,Caucasus,Caucasus
http://vocab.getty.edu/tgn/1000004,tdwg:34,Western Asia,Asia-Temperate
http://vocab.getty.edu/tgn/1012700,tdwg:35,Arabian Peninsula,Arabian Peninsula
http://vocab.getty.edu/tgn/1000111,tdwg:36,China,China
http://vocab.getty.edu/tgn/7029379,tdwg:37,Mongolia,Mongolia
http://vocab.getty.edu/tgn/1000004,tdwg:38,Eastern Asia,Eastern Asia
http://vocab.getty.edu/tgn/1000004,tdwg:40,Indian Subcontinent,Indian Subcontinent
http://vocab.getty.edu/tgn/7016879,tdwg:41,Indo-China,Indo-China
http://vocab.getty.edu/tgn/1000004,tdwg:42,Malesia,Asia-Tropical
http://vocab.getty.edu/tgn/1000004,tdwg:43,Papuasia,Asia-Tropical
http://vocab.getty.edu/tgn/7000490,tdwg:50,Australia,Australia
http://vocab.getty.edu/tgn/1000226,tdwg:51,New Zealand,New Zealand
http://vocab.getty.edu/tgn/7014652,tdwg:60,Southwestern Pacific,Southwestern Pacific
http://vocab.getty.edu/tgn/7014652,tdwg:61,South-Central Pacific,Pacific
http://vocab.getty.edu/tgn/7014652,tdwg:62,Northwestern Pacific,Pacific
http://vocab.getty.edu/tgn/7014652,tdwg:63,North-Central Pacific,Pacific
http://vocab.getty.edu/tgn/1000001,tdwg:70,Subarctic America,Northern America
http://vocab.getty.edu/tgn/1000001,tdwg:71,Western Canada,Northern America
http://vocab.getty.edu/tgn/1000001,tdwg:72,Eastern Canada,Northern America
http://vocab.getty.edu/tgn/1000001,tdwg:73,Northwestern U.S.A.,Northern America
http://vocab.getty.edu/tgn/1000001,tdwg:74,North-Central U.S.A.,Northern America
http://vocab.getty.edu/tgn/1000001,tdwg:75,Northeastern U.S.A.,Northern America
http://vocab.getty.edu/tgn/1000001,tdwg:76,Southwestern U.S.A.,Northern America
http://vocab.getty.edu/tgn/1000001,tdwg:77,South-Central U.S.A.,Northern America
http://vocab.getty.edu/tgn/1000001,tdwg:78,Southeastern U.S.A.,Northern America
http://vocab.getty.edu/tgn/7005560,tdwg:79,Mexico,Mexico
http://vocab.getty.edu/tgn/1000001,tdwg:80,Central America,Central America
http://vocab.getty.edu/tgn/7004569,tdwg:81,Caribbean,Caribbean
http://vocab.getty.edu/tgn/1000002,tdwg:82,Northern South America,Southern America
http://vocab.getty.edu/tgn/1000002,tdwg:83,Western South America,Southern America
http://vocab.getty.edu/tgn/1000047,tdwg:84,Brazil,Brazil
http://vocab.getty.edu/tgn/1000002,tdwg:85,Southern South America,Southern South America
http://vocab.getty.edu/tgn/1000007,tdwg:90,Subantarctic Islands,Antarctic
http://vocab.getty.edu/tgn/1000007,tdwg:91,Antarctic Continent,Antarctic Continent
http://vocab.getty.edu/tgn/7005694,tdwg:ABT,Alberta,Alberta
http://vocab.getty.edu/tgn/7016612,tdwg:AFG,Afghanistan,Afghanistan
http://vocab.getty.edu/tgn/1000002,tdwg:AGE,Argentina Northeast,Southern South America
http://vocab.getty.edu/tgn/7006477,tdwg:AGS,Argentina South,Argentina South
http://vocab.getty.edu/tgn/1000002,tdwg:AGW,Argentina Northwest,Southern South America
http://vocab.getty.edu/tgn/7002659,tdwg:ALA,Alabama,Alabama
http://vocab.getty.edu/tgn/7006417,tdwg:ALB,Albania,Albania
http://vocab.getty.edu/tgn/1006225,tdwg:ALD,Aldabra,Aldabra
http://vocab.getty.edu/tgn/7016752,tdwg:ALG,Algeria,Algeria
http://vocab.getty.edu/tgn/7002668,tdwg:ALT,Altay,Altay
http://vocab.getty.edu/tgn/7019773,tdwg:ALU,Aleutian Is.,Aleutian Is.
http://vocab.getty.edu/tgn/1003354,tdwg:AMU,Amur,Amur
http://vocab.getty.edu/tgn/1009838,tdwg:AND,Andaman Is.,Andaman Is.
http://vocab.getty.edu/tgn/1000149,tdwg:ANG,Angola,Angola
http://vocab.getty.edu/tgn/1000007,tdwg:ANT,Antarctica,Antarctica
http://vocab.getty.edu/tgn/7006451,tdwg:ARI,Arizona,Arizona
http://vocab.getty.edu/tgn/7016172,tdwg:ARK,Arkansas,Arkansas
http://vocab.getty.edu/tgn/7004548,tdwg:ARU,Aruba,Aruba
http://vocab.getty.edu/tgn/7014204,tdwg:ASC,Ascension,Ascension
http://vocab.getty.edu/tgn/7006450,tdwg:ASK,Alaska,Alaska
http://vocab.getty.edu/tgn/1000007,tdwg:ASP,Amsterdam-St.Paul Is.,Antarctic
http://vocab.getty.edu/tgn/1001832,tdwg:ASS,Assam,Assam
http://vocab.getty.edu/tgn/1000226,tdwg:ATP,Antipodean Is.,New Zealand
http://vocab.getty.edu/tgn/1000062,tdwg:AUT,Austria,Austria
http://vocab.getty.edu/tgn/7003833,tdwg:AZO,Azores,Azores
http://vocab.getty.edu/tgn/7005332,tdwg:BAH,Bahamas,Bahamas
http://vocab.getty.edu/tgn/7002765,tdwg:BAL,Baleares,Baleares
http://vocab.getty.edu/tgn/1000105,tdwg:BAN,Bangladesh,Bangladesh
http://vocab.getty.edu/tgn/8711681,tdwg:BEN,Benin,Benin
http://vocab.getty.edu/tgn/7032026,tdwg:BER,Bermuda,Bermuda
http://vocab.getty.edu/tgn/1000063,tdwg:BGM,Belgium,Belgium
http://vocab.getty.edu/tgn/1009885,tdwg:BIS,Bismarck Archipelago,Bismarck Archipelago
http://vocab.getty.edu/tgn/1000208,tdwg:BKN,Burkina,Burkina
http://vocab.getty.edu/tgn/7006657,tdwg:BLR,Belarus,Belarus
http://vocab.getty.edu/tgn/4003756,tdwg:BLT,Baltic States,Eastern Europe
http://vocab.getty.edu/tgn/7005346,tdwg:BLZ,Belize,Belize
http://vocab.getty.edu/tgn/1000046,tdwg:BOL,Bolivia,Bolivia
http://vocab.getty.edu/tgn/7015963,tdwg:BOR,Borneo,Borneo
http://vocab.getty.edu/tgn/1000150,tdwg:BOT,Botswana,Botswana
http://vocab.getty.edu/tgn/7016858,tdwg:BOU,Bouvet I.,Bouvet I.
http://vocab.getty.edu/tgn/7005735,tdwg:BRC,British Columbia,British Columbia
http://vocab.getty.edu/tgn/7011500,tdwg:BRY,Buryatiya,Buryatiya
http://vocab.getty.edu/tgn/7006413,tdwg:BUL,Bulgaria,Bulgaria
http://vocab.getty.edu/tgn/7001630,tdwg:BUR,Burundi,Burundi
http://vocab.getty.edu/tgn/1000047,tdwg:BZC,Brazil West-Central,Brazil
http://vocab.getty.edu/tgn/1000047,tdwg:BZE,Brazil Northeast,Brazil
http://vocab.getty.edu/tgn/1000047,tdwg:BZL,Brazil Southeast,Brazil
http://vocab.getty.edu/tgn/1000047,tdwg:BZN,Brazil North,Brazil
http://vocab.getty.edu/tgn/1000047,tdwg:BZS,Brazil South,Brazil
http://vocab.getty.edu/tgn/1000820,tdwg:CAB,Cabinda,Cabinda
http://vocab.getty.edu/tgn/1000155,tdwg:CAF,Central African Republic,Central African Republic
http://vocab.getty.edu/tgn/8711588,tdwg:CAL,California,California
http://vocab.getty.edu/tgn/7004623,tdwg:CAY,Cayman Is.,Cayman Is.
http://vocab.getty.edu/tgn/1000109,tdwg:CBD,Cambodia,Cambodia
http://vocab.getty.edu/tgn/7016677,tdwg:CGS,Chagos Archipelago,Chagos Archipelago
http://vocab.getty.edu/tgn/1000156,tdwg:CHA,Chad,Chad
http://vocab.getty.edu/tgn/1000111,tdwg:CHC,China South-Central,China
http://vocab.getty.edu/tgn/7001800,tdwg:CHH,Hainan,Hainan
http://vocab.getty.edu/tgn/7001838,tdwg:CHI,Inner Mongolia,Inner Mongolia
http://vocab.getty.edu/tgn/7016767,tdwg:CHM,Manchuria,Manchuria
http://vocab.getty.edu/tgn/1000111,tdwg:CHN,China North-Central,China
http://vocab.getty.edu/tgn/7002088,tdwg:CHQ,Qinghai,Qinghai
http://vocab.getty.edu/tgn/1000111,tdwg:CHS,China Southeast,China
http://vocab.getty.edu/tgn/7001319,tdwg:CHT,Tibet,Tibet
http://vocab.getty.edu/tgn/7001745,tdwg:CHX,Xinjiang,Xinjiang
http://vocab.getty.edu/tgn/1000004,tdwg:CKI,Cocos (Keeling) I.,Asia-Tropical
http://vocab.getty.edu/tgn/1000049,tdwg:CLC,Chile Central,Chile Central
http://vocab.getty.edu/tgn/1000050,tdwg:CLM,Colombia,Colombia
http://vocab.getty.edu/tgn/1000002,tdwg:CLN,Chile North,Southern South America
http://vocab.getty.edu/tgn/1000049,tdwg:CLS,Chile South,Chile South
http://vocab.getty.edu/tgn/1000153,tdwg:CMN,Cameroon,Cameroon
http://vocab.getty.edu/tgn/7007159,tdwg:CNT,Connecticut,Connecticut
http://vocab.getty.edu/tgn/7016622,tdwg:CNY,Canary Is.,Canary Is.
http://vocab.getty.edu/tgn/7007158,tdwg:COL,Colorado,Colorado
http://vocab.getty.edu/tgn/1000157,tdwg:COM,Comoros,Comoros
http://vocab.getty.edu/tgn/7017971,tdwg:CON,Congo,Congo
http://vocab.getty.edu/tgn/8711665,tdwg:COO,Cook Is.,Cook Is.
http://vocab.getty.edu/tgn/7651069,tdwg:COR,Corse,Corse
http://vocab.getty.edu/tgn/7005364,tdwg:COS,Costa Rica,Costa Rica
http://vocab.getty.edu/tgn/1000001,tdwg:CPI,C. American Pacific Is.,Central America
http://vocab.getty.edu/tgn/7001242,tdwg:CPP,Cape Provinces,Southern Africa
http://vocab.getty.edu/tgn/1003715,tdwg:CPV,Caprivi Strip,Caprivi Strip
http://vocab.getty.edu/tgn/7005669,tdwg:CRL,Caroline Is.,Caroline Is.
http://vocab.getty.edu/tgn/1009951,tdwg:CRZ,Crozet Is.,Crozet Is.
http://vocab.getty.edu/tgn/1003351,tdwg:CTA,Chita,Chita
http://vocab.getty.edu/tgn/7514692,tdwg:CTM,Chatham Is.,Chatham Is.
http://vocab.getty.edu/tgn/7764627,tdwg:CUB,Cuba,Cuba
http://vocab.getty.edu/tgn/7001632,tdwg:CVI,Cape Verde,Cape Verde
http://vocab.getty.edu/tgn/1000112,tdwg:CYP,Cyprus,Cyprus
http://vocab.getty.edu/tgn/1000065,tdwg:CZE,Czechoslovakia,Czechoslovakia
http://vocab.getty.edu/tgn/7007239,tdwg:DEL,Delaware,Delaware
http://vocab.getty.edu/tgn/1000066,tdwg:DEN,Denmark,Denmark
http://vocab.getty.edu/tgn/7014974,tdwg:DJI,Djibouti,Djibouti
http://vocab.getty.edu/tgn/7005388,tdwg:DOM,Dominican Republic,Dominican Republic
http://vocab.getty.edu/tgn/1000002,tdwg:DSV,Desventurados Is.,Southern South America
http://vocab.getty.edu/tgn/1000004,tdwg:EAI,East Aegean Is.,Asia-Temperate
http://vocab.getty.edu/tgn/7014652,tdwg:EAS,Easter Is.,Pacific
http://vocab.getty.edu/tgn/1000051,tdwg:ECU,Ecuador,Ecuador
http://vocab.getty.edu/tgn/7016833,tdwg:EGY,Egypt,Egypt
http://vocab.getty.edu/tgn/1000004,tdwg:EHM,East Himalaya,Indian Subcontinent
http://vocab.getty.edu/tgn/7005441,tdwg:ELS,El Salvador,El Salvador
http://vocab.getty.edu/tgn/1000161,tdwg:EQG,Equatorial Guinea,Equatorial Guinea
http://vocab.getty.edu/tgn/7001658,tdwg:ERI,Eritrea,Eritrea
http://vocab.getty.edu/tgn/7000489,tdwg:ETH,Ethiopia,Ethiopia
http://vocab.getty.edu/tgn/7005152,tdwg:FAL,Falkland Is.,Falkland Is.
http://vocab.getty.edu/tgn/7000493,tdwg:FIJ,Fiji,Fiji
http://vocab.getty.edu/tgn/1000069,tdwg:FIN,Finland,Finland
http://vocab.getty.edu/tgn/1000611,tdwg:FLA,Florida,Florida
http://vocab.getty.edu/tgn/7004167,tdwg:FOR,Føroyar,Føroyar
http://vocab.getty.edu/tgn/1000070,tdwg:FRA,France,France
http://vocab.getty.edu/tgn/1000053,tdwg:FRG,French Guiana,French Guiana
http://vocab.getty.edu/tgn/1000164,tdwg:GAB,Gabon,Gabon
http://vocab.getty.edu/tgn/1001259,tdwg:GAL,Galápagos,Galápagos
http://vocab.getty.edu/tgn/1000165,tdwg:GAM,"Gambia, The","Gambia, The"
http://vocab.getty.edu/tgn/7006653,tdwg:GEO,Georgia,Georgia
http://vocab.getty.edu/tgn/7000084,tdwg:GER,Germany,Germany
http://vocab.getty.edu/tgn/7001242,tdwg:GGI,Gulf of Guinea Is.,Africa
http://vocab.getty.edu/tgn/1000166,tdwg:GHA,Ghana,Ghana
http://vocab.getty.edu/tgn/7513527,tdwg:GIL,Gilbert Is.,Gilbert Is.
http://vocab.getty.edu/tgn/1000183,tdwg:GNB,Guinea-Bissau,Guinea-Bissau
http://vocab.getty.edu/tgn/7024573,tdwg:GNL,Greenland,Greenland
http://vocab.getty.edu/tgn/7008653,tdwg:GRB,Great Britain,Great Britain
http://vocab.getty.edu/tgn/1000074,tdwg:GRC,Greece,Greece
http://vocab.getty.edu/tgn/1012700,tdwg:GST,Gulf States,Arabian Peninsula
http://vocab.getty.edu/tgn/1000621,tdwg:GUA,Guatemala,Guatemala
http://vocab.getty.edu/tgn/7330591,tdwg:GUI,Guinea,Guinea
http://vocab.getty.edu/tgn/1000054,tdwg:GUY,Guyana,Guyana
http://vocab.getty.edu/tgn/7005502,tdwg:HAI,Haiti,Haiti
http://vocab.getty.edu/tgn/7007249,tdwg:HAW,Hawaii,Hawaii
http://vocab.getty.edu/tgn/7014652,tdwg:HBI,Howland-Baker Is.,Southwestern Pacific
http://vocab.getty.edu/tgn/1000007,tdwg:HMD,Heard-McDonald Is.,Antarctic
http://vocab.getty.edu/tgn/7005554,tdwg:HON,Honduras,Honduras
http://vocab.getty.edu/tgn/7006278,tdwg:HUN,Hungary,Hungary
http://vocab.getty.edu/tgn/1000077,tdwg:ICE,Iceland,Iceland
http://vocab.getty.edu/tgn/7007250,tdwg:IDA,Idaho,Idaho
http://vocab.getty.edu/tgn/7007251,tdwg:ILL,Illinois,Illinois
http://vocab.getty.edu/tgn/7000198,tdwg:IND,India,India
http://vocab.getty.edu/tgn/7007252,tdwg:INI,Indiana,Indiana
http://vocab.getty.edu/tgn/7007253,tdwg:IOW,Iowa,Iowa
http://vocab.getty.edu/tgn/7001181,tdwg:IRE,Ireland,Ireland
http://vocab.getty.edu/tgn/1003373,tdwg:IRK,Irkutsk,Irkutsk
http://vocab.getty.edu/tgn/7000231,tdwg:IRN,Iran,Iran
http://vocab.getty.edu/tgn/1000118,tdwg:IRQ,Iraq,Iraq
http://vocab.getty.edu/tgn/1000080,tdwg:ITA,Italy,Italy
http://vocab.getty.edu/tgn/7001242,tdwg:IVO,Ivory Coast,Africa
http://vocab.getty.edu/tgn/7005556,tdwg:JAM,Jamaica,Jamaica
http://vocab.getty.edu/tgn/1000120,tdwg:JAP,Japan,Japan
http://vocab.getty.edu/tgn/7003695,tdwg:JAW,Jawa,Jawa
http://vocab.getty.edu/tgn/1000002,tdwg:JNF,Juan Fernández Is.,Southern South America
http://vocab.getty.edu/tgn/1112254,tdwg:KAM,Kamchatka,Kamchatka
http://vocab.getty.edu/tgn/7007254,tdwg:KAN,Kansas,Kansas
http://vocab.getty.edu/tgn/7014786,tdwg:KAZ,Kazakhstan,Kazakhstan
http://vocab.getty.edu/tgn/1000007,tdwg:KEG,Kerguelen,Antarctic
http://vocab.getty.edu/tgn/1000169,tdwg:KEN,Kenya,Kenya
http://vocab.getty.edu/tgn/7006214,tdwg:KER,Kermadec Is.,Kermadec Is.
http://vocab.getty.edu/tgn/4010700,tdwg:KGZ,Kirgizistan,Middle Asia
http://vocab.getty.edu/tgn/6001973,tdwg:KHA,Khabarovsk,Russian Far East
http://vocab.getty.edu/tgn/7059230,tdwg:KOR,Korea,Korea
http://vocab.getty.edu/tgn/7011548,tdwg:KRA,Krasnoyarsk,Siberia
http://vocab.getty.edu/tgn/1000003,tdwg:KRI,Kriti,Southeastern Europe
http://vocab.getty.edu/tgn/7010345,tdwg:KRY,Krym,Krym
http://vocab.getty.edu/tgn/7007255,tdwg:KTY,Kentucky,Kentucky
http://vocab.getty.edu/tgn/7016712,tdwg:KUR,Kuril Is.,Kuril Is.
http://vocab.getty.edu/tgn/1000124,tdwg:KUW,Kuwait,Kuwait
http://vocab.getty.edu/tgn/1000004,tdwg:KZN,Kazan-retto,Eastern Asia
http://vocab.getty.edu/tgn/7013071,tdwg:LAB,Labrador,Labrador
http://vocab.getty.edu/tgn/1000125,tdwg:LAO,Laos,Laos
http://vocab.getty.edu/tgn/1000171,tdwg:LBR,Liberia,Liberia
http://vocab.getty.edu/tgn/1000004,tdwg:LBS,Lebanon-Syria,Asia-Temperate
http://vocab.getty.edu/tgn/1000172,tdwg:LBY,Libya,Libya
http://vocab.getty.edu/tgn/7001559,tdwg:LDV,Laccadive Is.,Laccadive Is.
http://vocab.getty.edu/tgn/7004569,tdwg:LEE,Leeward Is. AB Ant,Caribbean
http://vocab.getty.edu/tgn/7001660,tdwg:LES,Lesotho,Lesotho
http://vocab.getty.edu/tgn/7002038,tdwg:LIN,Line Is.,Line Is.
http://vocab.getty.edu/tgn/7007256,tdwg:LOU,Louisiana,Louisiana
http://vocab.getty.edu/tgn/1010190,tdwg:LSI,Lesser Sunda Is.,Lesser Sunda Is.
http://vocab.getty.edu/tgn/1003388,tdwg:MAG,Magadan,Magadan
