locationID,identifier,locality,locationRemarks
# Names in Marine Regions
http://vocab.getty.edu/tgn/1000006,mrgid:21893,Gilbert/Ellis Islands,
http://vocab.getty.edu/tgn/7029392,mrgid:22732,Global Terrestrial Ecoregions,
http://vocab.getty.edu/tgn/7029392,mrgid:22740,Palearctic,
http://vocab.getty.edu/tgn/1000001,mrgid:22796,Nearctic,
http://vocab.getty.edu/tgn/7016682,mrgid:22588,Alternative Classifications,
http://vocab.getty.edu/tgn/7016682,mrgid:36318,TDWG World Geographical Scheme for Recording Plant Distributions,
http://vocab.getty.edu/tgn/7016682,mrgid:22544,Realms,
http://vocab.getty.edu/tgn/7016682,mrgid:9262,Circumtropical,
http://vocab.getty.edu/tgn/7016682,mrgid:22540,ICES Ecoregions,
http://vocab.getty.edu/tgn/7014206,mrgid:22161,Faroes,
http://vocab.getty.edu/tgn/7016682,mrgid:22538,Longhurst Provinces,
http://vocab.getty.edu/tgn/7029385,mrgid:21498,East Australian Coastal Province,
http://vocab.getty.edu/tgn/7016682,mrgid:50149,MSFD regions,
http://vocab.getty.edu/tgn/7016682,mrgid:18031,Southern Hemisphere,
http://vocab.getty.edu/tgn/7014206,mrgid:21466,Caribbean Province,
http://vocab.getty.edu/tgn/7016682,mrgid:23490,IOS Regions,
http://vocab.getty.edu/tgn/7594545,mrgid:48669,Arctic Marine Areas,
http://vocab.getty.edu/tgn/7594545,mrgid:48677,Arctic Basin,
http://vocab.getty.edu/tgn/7594545,mrgid:23616,SeaVox Sea Areas,
http://vocab.getty.edu/tgn/1000004,mrgid:23733,Asian Mainland,
http://vocab.getty.edu/tgn/1112234,mrgid:21501,Subantarctic Province,
http://vocab.getty.edu/tgn/7014206,mrgid:21887,Patagonian Shelf,
http://vocab.getty.edu/tgn/7014206,mrgid:8548,Scotian Shelf,
http://vocab.getty.edu/tgn/7014206,mrgid:8551,Northeast U.S. Continental Shelf,
http://vocab.getty.edu/tgn/7014206,mrgid:8558,Southeast U.S. Continental Shelf,
